,infraction_code,location2,count,fine_sum,fine_descrp,lat,lng,address
19,1,116 SPADINA AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.6470844,-79.3961095,116 Spadina Ave Toronto ON M5V 2K6 Canada
20,1,119 FRONTENAC AVE,8,240.0,PARK FAIL TO DEPOSIT FEE METER,43.7169044,-79.4284895,119 Frontenac Ave North York ON M5N 1Z8 Canada
21,1,1231 WESTON RD,4,120.0,PARK FAIL TO DEPOSIT FEE METER,43.6882805,-79.4926857,1231 Weston Rd Toronto ON M6M 4P7 Canada
22,1,1310 DUNDAS ST W,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6496378,-79.42597119999999,1310 Dundas St W Toronto ON M6J 1Y1 Canada
23,1,133 EGLINTON AVE W,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.7055308,-79.4031145,133 Eglinton Ave W Toronto ON M4R 1A5 Canada
24,1,133 SIXTH ST,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6013621,-79.50414,133 Sixth St Etobicoke ON M8V Canada
25,1,135 FIFTH ST,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6016919,-79.50307459999999,135 Fifth St Etobicoke ON M8V 2Z5 Canada
26,1,138 BRAEMAR AVE,13,390.0,PARK FAIL TO DEPOSIT FEE METER,43.7042345,-79.4095572,138 Braemar Ave Toronto ON M5P 2L4 Canada
27,1,139 BEVERLEY ST,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.6542726,-79.3938132,139 Beverley St Toronto ON M5T 1Y4 Canada
28,1,140 GOWAN AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6885267,-79.3479716,140 Gowan Ave Toronto ON M4J 2K6 Canada
29,1,140 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6011776,-79.50562,140 Islington Ave Etobicoke ON M8V 3B6 Canada
30,1,141 FIFTH ST,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6018832,-79.5030646,141 Fifth St Etobicoke ON M8V 2Z5 Canada
31,1,143 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6008757,-79.50527629999999,143 Islington Ave Etobicoke ON M8V 3B8 Canada
32,1,145 GERRARD ST E,2,60.0,PARK FAIL TO DEPOSIT FEE METER,43.6604608,-79.37494869999999,145 Gerrard St E Toronto ON M5A 2E3 Canada
33,1,145 ISLINGTON AVE,3,90.0,PARK FAIL TO DEPOSIT FEE METER,43.6013937,-79.5053367,145 Islington Ave Etobicoke ON M8V 3B8 Canada
34,1,146 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6010897,-79.5054086,146 Islington Ave Etobicoke ON M8V 3B6 Canada
35,1,147 ISLINGTON AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6014274,-79.5053427,147 Islington Ave Etobicoke ON M8V 3B8 Canada
36,1,1475 DANFORTH AVE,1,30.0,PARK FAIL TO DEPOSIT FEE METER,43.6826934,-79.3258494,1475 Danforth Ave Toronto ON M4J 1N5 Canada
37,1,148 ISLINGTON AVE,5,150.0,PARK FAIL TO DEPOSIT FEE METER,43.6014653,-79.5058517,148 Islington Ave Etobicoke ON M8V 3B6 Canada
